Month Seen,HSC Trust,% seen within 14 days,,,,
Apr-08,Belfast,100.0,,,,
Apr-08,Northern,100.0,,,,
Apr-08,South Eastern,100.0,,,,
Apr-08,Southern,100.0,,,,
Apr-08,Western,100.0,,,,
May-08,Belfast,99.5,,,,
May-08,Northern,100.0,,,,
May-08,South Eastern,100.0,,,,
May-08,Southern,100.0,,,,
May-08,Western,100.0,,,,
Jun-08,Belfast,91.9,,,,
Jun-08,Northern,100.0,,,,
Jun-08,South Eastern,98.8,,,,
Jun-08,Southern,100.0,,,,
Jun-08,Western,100.0,,,,
Jul-08,Belfast,100.0,,,,
Jul-08,Northern,100.0,,,,
Jul-08,South Eastern,100.0,,,,
Jul-08,Southern,100.0,,,,
Jul-08,Western,100.0,,,,
Aug-08,Belfast,99.5,,,,
Aug-08,Northern,100.0,,,,
Aug-08,South Eastern,100.0,,,,
Aug-08,Southern,100.0,,,,
Aug-08,Western,83.2,,,,
Sep-08,Belfast,100.0,,,,
Sep-08,Northern,100.0,,,,
Sep-08,South Eastern,100.0,,,,
Sep-08,Southern,100.0,,,,
Sep-08,Western,100.0,,,,
Oct-08,Belfast,100.0,,,,
Oct-08,Northern,100.0,,,,
Oct-08,South Eastern,100.0,,,,
Oct-08,Southern,100.0,,,,
Oct-08,Western,100.0,,,,
Nov-08,Belfast,100.0,,,,
Nov-08,Northern,100.0,,,,
Nov-08,South Eastern,100.0,,,,
Nov-08,Southern,100.0,,,,
Nov-08,Western,100.0,,,,
Dec-08,Belfast,100.0,,,,
Dec-08,Northern,100.0,,,,
Dec-08,South Eastern,100.0,,,,
Dec-08,Southern,100.0,,,,
Dec-08,Western,100.0,,,,
Jan-09,Belfast,100.0,,,,
Jan-09,Northern,100.0,,,,
Jan-09,South Eastern,100.0,,,,
Jan-09,Southern,100.0,,,,
Jan-09,Western,100.0,,,,
Feb-09,Belfast,99.5,,,,
Feb-09,Northern,100.0,,,,
Feb-09,South Eastern,100.0,,,,
Feb-09,Southern,100.0,,,,
Feb-09,Western,100.0,,,,
Mar-09,Belfast,100.0,,,,
Mar-09,Northern,100.0,,,,
Mar-09,South Eastern,100.0,,,,
Mar-09,Southern,100.0,,,,
Mar-09,Western,85.0,,,,
Apr-09,Belfast,100.0,,,,
Apr-09,Northern,100.0,,,,
Apr-09,South Eastern,100.0,,,,
Apr-09,Southern,100.0,,,,
Apr-09,Western,49.3,,,,
May-09,Belfast,100.0,,,,
May-09,Northern,100.0,,,,
May-09,South Eastern,99.2,,,,
May-09,Southern,100.0,,,,
May-09,Western,78.8,,,,
Jun-09,Belfast,100.0,,,,
Jun-09,Northern,100.0,,,,
Jun-09,South Eastern,100.0,,,,
Jun-09,Southern,100.0,,,,
Jun-09,Western,96.7,,,,
Jul-09,Belfast,100.0,,,,
Jul-09,Northern,100.0,,,,
Jul-09,South Eastern,100.0,,,,
Jul-09,Southern,100.0,,,,
Jul-09,Western,84.9,,,,
Aug-09,Belfast,100.0,,,,
Aug-09,Northern,100.0,,,,
Aug-09,South Eastern,100.0,,,,
Aug-09,Southern,100.0,,,,
Aug-09,Western,56.0,,,,
Sep-09,Belfast,100.0,,,,
Sep-09,Northern,100.0,,,,
Sep-09,South Eastern,100.0,,,,
Sep-09,Southern,100.0,,,,
Sep-09,Western,83.6,,,,
Oct-09,Belfast,100.0,,,,
Oct-09,Northern,100.0,,,,
Oct-09,South Eastern,100.0,,,,
Oct-09,Southern,100.0,,,,
Oct-09,Western,99.4,,,,
Nov-09,Belfast,100.0,,,,
Nov-09,Northern,100.0,,,,
Nov-09,South Eastern,100.0,,,,
Nov-09,Southern,100.0,,,,
Nov-09,Western,100.0,,,,
Dec-09,Belfast,100.0,,,,
Dec-09,Northern,100.0,,,,
Dec-09,South Eastern,100.0,,,,
Dec-09,Southern,100.0,,,,
Dec-09,Western,100.0,,,,
Jan-10,Belfast,100.0,,,,
Jan-10,Northern,100.0,,,,
Jan-10,South Eastern,100.0,,,,
Jan-10,Southern,100.0,,,,
Jan-10,Western,100.0,,,,
Feb-10,Belfast,100.0,,,,
Feb-10,Northern,100.0,,,,
Feb-10,South Eastern,100.0,,,,
Feb-10,Southern,100.0,,,,
Feb-10,Western,94.2,,,,
Mar-10,Belfast,100.0,,,,
Mar-10,Northern,100.0,,,,
Mar-10,South Eastern,100.0,,,,
Mar-10,Southern,100.0,,,,
Mar-10,Western,85.6,,,,
Apr-10,Belfast,100.0,,,,
Apr-10,Northern,100.0,,,,
Apr-10,South Eastern,100.0,,,,
Apr-10,Southern,100.0,,,,
Apr-10,Western,97.0,,,,
May-10,Belfast,100.0,,,,
