Treatment Month,HSC Trust,% treated within 31 days,,,,,,,,
Apr-08,Belfast,91.9,,,,,,,,
Apr-08,Northern,91.7,,,,,,,,
Apr-08,South Eastern,98.0,,,,,,,,
Apr-08,Southern,97.3,,,,,,,,
Apr-08,Western,91.3,,,,,,,,
May-08,Belfast,93.3,,,,,,,,
May-08,Northern,99.0,,,,,,,,
May-08,South Eastern,99.0,,,,,,,,
May-08,Southern,97.3,,,,,,,,
May-08,Western,98.5,,,,,,,,
Jun-08,Belfast,96.9,,,,,,,,
Jun-08,Northern,100.0,,,,,,,,
Jun-08,South Eastern,100.0,,,,,,,,
Jun-08,Southern,100.0,,,,,,,,
Jun-08,Western,95.7,,,,,,,,
Jul-08,Belfast,94.6,,,,,,,,
Jul-08,Northern,100.0,,,,,,,,
Jul-08,South Eastern,100.0,,,,,,,,
Jul-08,Southern,96.9,,,,,,,,
Jul-08,Western,95.8,,,,,,,,
Aug-08,Belfast,93.1,,,,,,,,
Aug-08,Northern,100.0,,,,,,,,
Aug-08,South Eastern,98.5,,,,,,,,
Aug-08,Southern,98.7,,,,,,,,
Aug-08,Western,91.4,,,,,,,,
Sep-08,Belfast,94.4,,,,,,,,
Sep-08,Northern,97.6,,,,,,,,
Sep-08,South Eastern,97.6,,,,,,,,
Sep-08,Southern,100.0,,,,,,,,
Sep-08,Western,97.4,,,,,,,,
Oct-08,Belfast,96.6,,,,,,,,
Oct-08,Northern,100.0,,,,,,,,
Oct-08,South Eastern,100.0,,,,,,,,
Oct-08,Southern,98.7,,,,,,,,
Oct-08,Western,100.0,,,,,,,,
Nov-08,Belfast,96.0,,,,,,,,
Nov-08,Northern,100.0,,,,,,,,
Nov-08,South Eastern,100.0,,,,,,,,
Nov-08,Southern,100.0,,,,,,,,
Nov-08,Western,98.6,,,,,,,,
Dec-08,Belfast,97.0,,,,,,,,
Dec-08,Northern,100.0,,,,,,,,
Dec-08,South Eastern,98.0,,,,,,,,
Dec-08,Southern,98.5,,,,,,,,
Dec-08,Western,100.0,,,,,,,,
Jan-09,Belfast,92.8,,,,,,,,
Jan-09,Northern,98.7,,,,,,,,
Jan-09,South Eastern,98.0,,,,,,,,
Jan-09,Southern,100.0,,,,,,,,
Jan-09,Western,100.0,,,,,,,,
Feb-09,Belfast,95.9,,,,,,,,
Feb-09,Northern,100.0,,,,,,,,
Feb-09,South Eastern,97.8,,,,,,,,
Feb-09,Southern,100.0,,,,,,,,
Feb-09,Western,98.8,,,,,,,,
Mar-09,Belfast,97.0,,,,,,,,
Mar-09,Northern,100.0,,,,,,,,
Mar-09,South Eastern,100.0,,,,,,,,
Mar-09,Southern,100.0,,,,,,,,
Mar-09,Western,100.0,,,,,,,,
Apr-09,Belfast,97.5,,,,,,,,
Apr-09,Northern,98.6,,,,,,,,
Apr-09,South Eastern,100.0,,,,,,,,
Apr-09,Southern,100.0,,,,,,,,
Apr-09,Western,97.9,,,,,,,,
May-09,Belfast,94.8,,,,,,,,
May-09,Northern,100.0,,,,,,,,
May-09,South Eastern,100.0,,,,,,,,
May-09,Southern,98.6,,,,,,,,
May-09,Western,100.0,,,,,,,,
Jun-09,Belfast,97.5,,,,,,,,
Jun-09,Northern,100.0,,,,,,,,
Jun-09,South Eastern,100.0,,,,,,,,
Jun-09,Southern,99.1,,,,,,,,
Jun-09,Western,100.0,,,,,,,,
Jul-09,Belfast,97.7,,,,,,,,
Jul-09,Northern,100.0,,,,,,,,
Jul-09,South Eastern,100.0,,,,,,,,
Jul-09,Southern,100.0,,,,,,,,
Jul-09,Western,100.0,,,,,,,,
Aug-09,Belfast,97.0,,,,,,,,
Aug-09,Northern,100.0,,,,,,,,
Aug-09,South Eastern,100.0,,,,,,,,
Aug-09,Southern,100.0,,,,,,,,
Aug-09,Western,100.0,,,,,,,,
Sep-09,Belfast,96.1,,,,,,,,
Sep-09,Northern,96.8,,,,,,,,
Sep-09,South Eastern,99.0,,,,,,,,
Sep-09,Southern,98.3,,,,,,,,
Sep-09,Western,97.0,,,,,,,,
Oct-09,Belfast,96.1,,,,,,,,
Oct-09,Northern,98.8,,,,,,,,
Oct-09,South Eastern,98.1,,,,,,,,
Oct-09,Southern,100.0,,,,,,,,
Oct-09,Western,100.0,,,,,,,,
Nov-09,Belfast,93.7,,,,,,,,
Nov-09,Northern,100.0,,,,,,,,
Nov-09,South Eastern,99.1,,,,,,,,
Nov-09,Southern,100.0,,,,,,,,
Nov-09,Western,100.0,,,,,,,,
Dec-09,Belfast,96.9,,,,,,,,
Dec-09,Northern,98.8,,,,,,,,
Dec-09,South Eastern,99.0,,,,,,,,
Dec-09,Southern,100.0,,,,,,,,
Dec-09,Western,98.9,,,,,,,,
Jan-10,Belfast,95.9,,,,,,,,
Jan-10,Northern,98.6,,,,,,,,
Jan-10,South Eastern,100.0,,,,,,,,
Jan-10,Southern,98.9,,,,,,,,
Jan-10,Western,100.0,,,,,,,,
Feb-10,Belfast,95.8,,,,,,,,
Feb-10,Northern,100.0,,,,,,,,
Feb-10,South Eastern,98.9,,,,,,,,
Feb-10,Southern,100.0,,,,,,,,
Feb-10,Western,100.0,,,,,,,,
Mar-10,Belfast,95.4,,,,,,,,
Mar-10,Northern,100.0,,,,,,,,
Mar-10,South Eastern,100.0,,,,,,,,
Mar-10,Southern,100.0,,,,,,,,
Mar-10,Western,100.0,,,,,,,,
Apr-10,Belfast,94.9,,,,,,,,
Apr-10,Northern,100.0,,,,,,,,
Apr-10,South Eastern,100.0,,,,,,,,
Apr-10,Southern,100.0,,,,,,,,
Apr-10,Western,100.0,,,,,,,,
May-10,Belfast,96.9,,,,,,,,
May-10,Northern,100.0,,,,,,,,
May-10,South Eastern,100.0,,,,,,,,
May-10,Southern,100.0,,,,,,,,
May-10,Western,96.4,,,,,,,,
Jun-10,Belfast,95.1,,,,,,,,
Jun-10,Northern,98.9,,,,,,,,
Jun-10,South Eastern,100.0,,,,,,,,
Jun-10,Southern,100.0,,,,,,,,
Jun-10,Western,99.1,,,,,,,,
Jul-10,Belfast,94.3,,,,,,,,
Jul-10,Northern,100.0,,,,,,,,
Jul-10,South Eastern,100.0,,,,,,,,
Jul-10,Southern,100.0,,,,,,,,
Jul-10,Western,100.0,,,,,,,,
Aug-10,Belfast,92.6,,,,,,,,
Aug-10,Northern,100.0,,,,,,,,
Aug-10,South Eastern,98.4,,,,,,,,
Aug-10,Southern,100.0,,,,,,,,
Aug-10,Western,100.0,,,,,,,,
Sep-10,Belfast,94.7,,,,,,,,
Sep-10,Northern,97.7,,,,,,,,
Sep-10,South Eastern,99.1,,,,,,,,
Sep-10,Southern,100.0,,,,,,,,
Sep-10,Western,100.0,,,,,,,,
Oct-10,Belfast,95.7,,,,,,,,
Oct-10,Northern,100.0,,,,,,,,
Oct-10,South Eastern,100.0,,,,,,,,
Oct-10,Southern,100.0,,,,,,,,
Oct-10,Western,100.0,,,,,,,,
Nov-10,Belfast,95.0,,,,,,,,
Nov-10,Northern,99.1,,,,,,,,
Nov-10,South Eastern,99.0,,,,,,,,
Nov-10,Southern,100.0,,,,,,,,
Nov-10,Western,100.0,,,,,,,,
Dec-10,Belfast,96.2,,,,,,,,
Dec-10,Northern,98.8,,,,,,,,
Dec-10,South Eastern,98.4,,,,,,,,
Dec-10,Southern,100.0,,,,,,,,
Dec-10,Western,100.0,,,,,,,,
Jan-11,Belfast,97.3,,,,,,,,
Jan-11,Northern,97.8,,,,,,,,
Jan-11,South Eastern,98.3,,,,,,,,
Jan-11,Southern,100.0,,,,,,,,
Jan-11,Western,98.9,,,,,,,,
Feb-11,Belfast,96.7,,,,,,,,
Feb-11,Northern,98.6,,,,,,,,
Feb-11,South Eastern,100.0,,,,,,,,
Feb-11,Southern,98.6,,,,,,,,
Feb-11,Western,100.0,,,,,,,,
Mar-11,Belfast,96.8,,,,,,,,
Mar-11,Northern,100.0,,,,,,,,
Mar-11,South Eastern,98.3,,,,,,,,
Mar-11,Southern,100.0,,,,,,,,
Mar-11,Western,98.2,,,,,,,,
Apr-11,Belfast,96.8,,,,,,,,
Apr-11,Northern,100.0,,,,,,,,
Apr-11,South Eastern,98.1,,,,,,,,
Apr-11,Southern,100.0,,,,,,,,
Apr-11,Western,100.0,,,,,,,,
