Treatment Month,HSC Trust,% treated within 62 days,,,,,,
Apr-08,Belfast,81.8,,,,,,
Apr-08,Northern,83.8,,,,,,
Apr-08,South Eastern,85.2,,,,,,
Apr-08,Southern,94.3,,,,,,
Apr-08,Western,78.1,,,,,,
May-08,Belfast,85.9,,,,,,
May-08,Northern,83.7,,,,,,
May-08,South Eastern,91.9,,,,,,
May-08,Southern,98.0,,,,,,
May-08,Western,77.3,,,,,,
Jun-08,Belfast,89.5,,,,,,
Jun-08,Northern,89.3,,,,,,
Jun-08,South Eastern,97.4,,,,,,
Jun-08,Southern,100.0,,,,,,
Jun-08,Western,86.1,,,,,,
Jul-08,Belfast,84.8,,,,,,
Jul-08,Northern,95.7,,,,,,
Jul-08,South Eastern,91.4,,,,,,
Jul-08,Southern,93.0,,,,,,
Jul-08,Western,76.5,,,,,,
Aug-08,Belfast,80.5,,,,,,
Aug-08,Northern,90.0,,,,,,
Aug-08,South Eastern,79.1,,,,,,
Aug-08,Southern,93.0,,,,,,
Aug-08,Western,66.7,,,,,,
Sep-08,Belfast,83.0,,,,,,
Sep-08,Northern,88.4,,,,,,
Sep-08,South Eastern,83.3,,,,,,
Sep-08,Southern,97.1,,,,,,
Sep-08,Western,83.3,,,,,,
Oct-08,Belfast,83.8,,,,,,
Oct-08,Northern,87.6,,,,,,
Oct-08,South Eastern,97.6,,,,,,
Oct-08,Southern,97.8,,,,,,
Oct-08,Western,81.1,,,,,,
Nov-08,Belfast,89.1,,,,,,
Nov-08,Northern,93.1,,,,,,
Nov-08,South Eastern,93.3,,,,,,
Nov-08,Southern,100.0,,,,,,
Nov-08,Western,85.0,,,,,,
Dec-08,Belfast,90.3,,,,,,
Dec-08,Northern,91.7,,,,,,
Dec-08,South Eastern,88.5,,,,,,
Dec-08,Southern,96.6,,,,,,
Dec-08,Western,100.0,,,,,,
Jan-09,Belfast,75.4,,,,,,
Jan-09,Northern,80.6,,,,,,
Jan-09,South Eastern,92.5,,,,,,
Jan-09,Southern,100.0,,,,,,
Jan-09,Western,94.8,,,,,,
Feb-09,Belfast,75.5,,,,,,
Feb-09,Northern,86.6,,,,,,
Feb-09,South Eastern,87.0,,,,,,
Feb-09,Southern,100.0,,,,,,
Feb-09,Western,87.5,,,,,,
Mar-09,Belfast,85.7,,,,,,
Mar-09,Northern,94.7,,,,,,
Mar-09,South Eastern,96.1,,,,,,
Mar-09,Southern,98.3,,,,,,
Mar-09,Western,94.9,,,,,,
Apr-09,Belfast,83.3,,,,,,
Apr-09,Northern,87.8,,,,,,
Apr-09,South Eastern,92.1,,,,,,
Apr-09,Southern,100.0,,,,,,
Apr-09,Western,93.4,,,,,,
May-09,Belfast,77.6,,,,,,
May-09,Northern,86.0,,,,,,
May-09,South Eastern,90.1,,,,,,
May-09,Southern,100.0,,,,,,
May-09,Western,97.5,,,,,,
Jun-09,Belfast,84.3,,,,,,
Jun-09,Northern,86.9,,,,,,
Jun-09,South Eastern,89.4,,,,,,
Jun-09,Southern,93.2,,,,,,
Jun-09,Western,97.5,,,,,,
Jul-09,Belfast,84.1,,,,,,
Jul-09,Northern,71.4,,,,,,
Jul-09,South Eastern,97.4,,,,,,
Jul-09,Southern,97.1,,,,,,
Jul-09,Western,91.4,,,,,,
Aug-09,Belfast,84.7,,,,,,
Aug-09,Northern,95.1,,,,,,
Aug-09,South Eastern,86.3,,,,,,
Aug-09,Southern,96.8,,,,,,
Aug-09,Western,93.1,,,,,,
Sep-09,Belfast,80.6,,,,,,
Sep-09,Northern,74.3,,,,,,
Sep-09,South Eastern,87.8,,,,,,
Sep-09,Southern,86.6,,,,,,
Sep-09,Western,92.8,,,,,,
Oct-09,Belfast,90.0,,,,,,
Oct-09,Northern,83.1,,,,,,
Oct-09,South Eastern,88.2,,,,,,
Oct-09,Southern,100.0,,,,,,
Oct-09,Western,95.0,,,,,,
Nov-09,Belfast,76.4,,,,,,
Nov-09,Northern,87.3,,,,,,
Nov-09,South Eastern,92.6,,,,,,
Nov-09,Southern,95.5,,,,,,
Nov-09,Western,96.8,,,,,,
Dec-09,Belfast,86.4,,,,,,
Dec-09,Northern,88.2,,,,,,
Dec-09,South Eastern,92.5,,,,,,
Dec-09,Southern,100.0,,,,,,
Dec-09,Western,88.5,,,,,,
Jan-10,Belfast,84.1,,,,,,
Jan-10,Northern,86.7,,,,,,
Jan-10,South Eastern,91.4,,,,,,
Jan-10,Southern,95.7,,,,,,
Jan-10,Western,95.0,,,,,,
Feb-10,Belfast,80.3,,,,,,
Feb-10,Northern,86.3,,,,,,
Feb-10,South Eastern,98.1,,,,,,
Feb-10,Southern,95.7,,,,,,
Feb-10,Western,94.3,,,,,,
Mar-10,Belfast,82.7,,,,,,
Mar-10,Northern,95.3,,,,,,
Mar-10,South Eastern,98.1,,,,,,
Mar-10,Southern,100.0,,,,,,
Mar-10,Western,96.6,,,,,,
Apr-10,Belfast,80.0,,,,,,
Apr-10,Northern,90.6,,,,,,
Apr-10,South Eastern,93.4,,,,,,
Apr-10,Southern,96.0,,,,,,
Apr-10,Western,90.5,,,,,,
May-10,Belfast,72.5,,,,,,
May-10,Northern,85.3,,,,,,
May-10,South Eastern,96.9,,,,,,
May-10,Southern,97.9,,,,,,
May-10,Western,89.2,,,,,,
Jun-10,Belfast,85.4,,,,,,
Jun-10,Northern,86.9,,,,,,
Jun-10,South Eastern,84.8,,,,,,
Jun-10,Southern,90.0,,,,,,
Jun-10,Western,86.9,,,,,,
Jul-10,Belfast,86.5,,,,,,
Jul-10,Northern,91.7,,,,,,
Jul-10,South Eastern,95.0,,,,,,
Jul-10,Southern,100.0,,,,,,
Jul-10,Western,90.5,,,,,,
Aug-10,Belfast,78.8,,,,,,
Aug-10,Northern,78.0,,,,,,
Aug-10,South Eastern,81.4,,,,,,
Aug-10,Southern,83.7,,,,,,
Aug-10,Western,92.9,,,,,,
Sep-10,Belfast,77.9,,,,,,
Sep-10,Northern,84.7,,,,,,
Sep-10,South Eastern,91.3,,,,,,
Sep-10,Southern,92.4,,,,,,
Sep-10,Western,93.2,,,,,,
Oct-10,Belfast,80.9,,,,,,
Oct-10,Northern,84.6,,,,,,
Oct-10,South Eastern,87.5,,,,,,
Oct-10,Southern,98.2,,,,,,
Oct-10,Western,84.7,,,,,,
Nov-10,Belfast,75.3,,,,,,
Nov-10,Northern,87.1,,,,,,
Nov-10,South Eastern,84.0,,,,,,
Nov-10,Southern,89.6,,,,,,
Nov-10,Western,88.1,,,,,,
Dec-10,Belfast,65.0,,,,,,
Dec-10,Northern,88.2,,,,,,
Dec-10,South Eastern,91.5,,,,,,
Dec-10,Southern,95.6,,,,,,
Dec-10,Western,81.1,,,,,,
Jan-11,Belfast,80.5,,,,,,
Jan-11,Northern,86.8,,,,,,
Jan-11,South Eastern,91.4,,,,,,
Jan-11,Southern,93.7,,,,,,
Jan-11,Western,75.0,,,,,,
Feb-11,Belfast,64.6,,,,,,
Feb-11,Northern,83.6,,,,,,
Feb-11,South Eastern,85.7,,,,,,
Feb-11,Southern,83.7,,,,,,
Feb-11,Western,81.5,,,,,,
Mar-11,Belfast,76.5,,,,,,
Mar-11,Northern,77.0,,,,,,
Mar-11,South Eastern,85.6,,,,,,
Mar-11,Southern,85.4,,,,,,
Mar-11,Western,89.7,,,,,,
Apr-11,Belfast,74.0,,,,,,
Apr-11,Northern,83.3,,,,,,
Apr-11,South Eastern,94.1,,,,,,
Apr-11,Southern,71.0,,,,,,
Apr-11,Western,93.5,,,,,,
May-11,Belfast,77.2,,,,,,
May-11,Northern,78.2,,,,,,
May-11,South Eastern,87.7,,,,,,
May-11,Southern,81.8,,,,,,
May-11,Western,76.8,,,,,,
Jun-11,Belfast,76.6,,,,,,
Jun-11,Northern,85.1,,,,,,
Jun-11,South Eastern,84.1,,,,,,
Jun-11,Southern,94.0,,,,,,
Jun-11,Western,80.0,,,,,,
Jul-11,Belfast,69.0,,,,,,
Jul-11,Northern,84.0,,,,,,
Jul-11,South Eastern,88.2,,,,,,
Jul-11,Southern,77.6,,,,,,
Jul-11,Western,82.3,,,,,,
Aug-11,Belfast,78.1,,,,,,
Aug-11,Northern,96.0,,,,,,
Aug-11,South Eastern,93.6,,,,,,
Aug-11,Southern,77.0,,,,,,
Aug-11,Western,72.1,,,,,,
Sep-11,Belfast,77.1,,,,,,
Sep-11,Northern,87.6,,,,,,
Sep-11,South Eastern,87.9,,,,,,
Sep-11,Southern,87.4,,,,,,
Sep-11,Western,76.8,,,,,,
Oct-11,Belfast,70.1,,,,,,
Oct-11,Northern,86.6,,,,,,
Oct-11,South Eastern,87.1,,,,,,
Oct-11,Southern,88.3,,,,,,
Oct-11,Western,80.2,,,,,,
Nov-11,Belfast,77.1,,,,,,
Nov-11,Northern,83.7,,,,,,
Nov-11,South Eastern,90.2,,,,,,
Nov-11,Southern,94.0,,,,,,
Nov-11,Western,80.9,,,,,,
Dec-11,Belfast,74.7,,,,,,
Dec-11,Northern,84.5,,,,,,
Dec-11,South Eastern,94.3,,,,,,
Dec-11,Southern,92.6,,,,,,
Dec-11,Western,78.7,,,,,,
Jan-12,Belfast,72.7,,,,,,
Jan-12,Northern,87.8,,,,,,
Jan-12,South Eastern,87.6,,,,,,
Jan-12,Southern,87.5,,,,,,
Jan-12,Western,80.0,,,,,,
